exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,trade_fee_in_quote,position,age
12541009,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698440184000,x-3QreWesySSIUT608b8e9bb96e996f4,SELL,LIMIT,0.1058000,141,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00298356'}]}",0.00298356,OPEN,00:00:36
12543561,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698446347000,x-3QreWesyBSIUT608ba503b183396f4,BUY,LIMIT,0.1061000,141,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00299202'}]}",0.00299202,OPEN,00:03:04
12543797,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698447004000,x-3QreWesySSIUT608ba7669a02996f4,SELL,LIMIT,0.1062000,283,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00601092'}]}",0.00601092,OPEN,00:03:21
12544068,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698447701000,x-3QreWesyBSIUT608baabeb5be596f4,BUY,MARKET,0.1059000,283,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01498485'}]}",0.01498485,CLOSE,00:00:00
12544774,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698449688000,x-3QreWesySSIUT608bb1e0e322396f4,SELL,LIMIT,0.1063000,282,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00599532'}]}",0.00599532,OPEN,00:01:12
12544859,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698449747000,x-3QreWesySSIUT608bb25d844a396f4,SELL,MARKET,0.1063000,141,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00749415'}]}",0.00749415,CLOSE,00:00:00
12546236,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698453423000,x-3QreWesyBSIUT608bbf693676d96f4,BUY,LIMIT,0.1067000,140,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00298760'}]}",0.00298760,OPEN,00:02:55
12546311,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698453437000,x-3QreWesyBSIUT608bbf05ce59d96f4,BUY,LIMIT,0.1064000,280,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00595840'}]}",0.00595840,OPEN,00:04:53
12546553,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698453867000,x-3QreWesySSIUT608bc1b7092df96f4,SELL,MARKET,0.1066000,280,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01492400'}]}",0.01492400,CLOSE,00:00:00
12548284,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698458330000,x-3QreWesySSIUT608bd2570fa5e96f4,SELL,MARKET,0.1072000,140,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00750400'}]}",0.00750400,CLOSE,00:00:00
