exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,trade_fee_in_quote,position,age
4952744,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695032343000,x-XEKWYICXSSIUT6059f782dbe640582,SELL,LIMIT,0.12370000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00989600'}]}",0.00989600,NIL,00:00:09
4952802,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695032400000,x-XEKWYICXSSIUT6059f7b773a700582,SELL,LIMIT,0.12390000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00991200'}]}",0.00991200,NIL,00:00:11
4952853,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695032466000,x-XEKWYICXBSIUT6059f7eb589760582,BUY,LIMIT,0.12370000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0098960000000000,NIL,00:00:22
4952948,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695032659000,x-XEKWYICXSSIUT6059f888bd9700582,SELL,LIMIT,0.12390000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00991200'}]}",0.00991200,NIL,00:00:50
4953616,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695033436000,x-XEKWYICXBSIUT6059fb9bc66fc0582,BUY,LIMIT,0.12480000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0099840000000000,NIL,00:00:02
4953980,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695033650000,x-XEKWYICXBSIUT6059fc38d98eb0582,BUY,LIMIT,0.12530000,19.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.01900000'}]}",0.0023807000000000,NIL,00:00:51
4954033,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695033685000,x-XEKWYICXBSIUT6059fc6d47e2f0582,BUY,LIMIT,0.12520000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0100160000000000,NIL,00:00:31
4954408,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695033992000,x-XEKWYICXBSIUT6059fda7fe3c80582,BUY,LIMIT,0.12550000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0100400000000000,NIL,00:00:08
4954760,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695034281000,x-XEKWYICXBSIUT6059feae43e3c0582,BUY,LIMIT,0.12540000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0100320000000000,NIL,00:00:22
4955027,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695034546000,x-XEKWYICXBSIUT6059ffb4837a60582,BUY,LIMIT,0.12520000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0100160000000000,NIL,00:00:12
4955180,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695034800000,x-XEKWYICXSSIUT605a0086848690582,SELL,LIMIT,0.12500000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01000000'}]}",0.01000000,NIL,00:00:46
4955210,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695034866000,x-XEKWYICXSSIUT605a00ef3ca0b0582,SELL,LIMIT,0.12500000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01000000'}]}",0.01000000,NIL,00:00:02
4955307,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695034999000,x-XEKWYICXSSIUT605a015823dc90582,SELL,LIMIT,0.12500000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01000000'}]}",0.01000000,NIL,00:00:25
4955369,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035060000,x-XEKWYICXSSIUT605a018c99c7c0582,SELL,LIMIT,0.12520000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01001600'}]}",0.01001600,NIL,00:00:31
4955471,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035181000,x-XEKWYICXBSIUT605a01f57ce660582,BUY,LIMIT,0.12490000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0099920000000000,NIL,00:00:42
4955535,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035292000,x-XEKWYICXSSIUT605a025e648920582,SELL,LIMIT,0.12510000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01000800'}]}",0.01000800,NIL,00:00:43
4955585,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035410000,x-XEKWYICXBSIUT605a02c7531020582,BUY,LIMIT,0.12490000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0099920000000000,NIL,00:00:51
4955618,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035466000,x-XEKWYICXSSIUT605a02fbc10220582,SELL,LIMIT,0.12500000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01000000'}]}",0.01000000,NIL,00:00:52
4955690,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035603000,x-XEKWYICXSSIUT605a03991a7c90582,SELL,LIMIT,0.12520000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01001600'}]}",0.01001600,NIL,00:00:24
4955877,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035826000,x-XEKWYICXBSIUT605a046ae94af0582,BUY,LIMIT,0.12520000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0100160000000000,NIL,00:00:27
4955921,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035880000,x-XEKWYICXSSIUT605a049f5d5ba0582,SELL,LIMIT,0.12520000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01001600'}]}",0.01001600,NIL,00:00:26
4955965,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695035898000,x-XEKWYICXBSIUT605a049f5d0c40582,BUY,LIMIT,0.12490000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0099920000000000,NIL,00:00:44
4956044,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695036029000,x-XEKWYICXSSIUT605a053cb8b4b0582,SELL,LIMIT,0.12490000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00999200'}]}",0.00999200,NIL,00:00:10
4956227,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695036283000,x-XEKWYICXBSIUT605a060e93aa80582,BUY,LIMIT,0.12460000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0099680000000000,NIL,00:00:44
4956363,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695036550000,x-XEKWYICXSSIUT605a0714ee5ef0582,SELL,LIMIT,0.12470000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00997600'}]}",0.00997600,NIL,00:00:36
4956777,bot_battle,bot_battle,binance,SEI-USDT,SEI,USDT,1695037101000,x-XEKWYICXBSIUT605a09214f7300582,BUY,LIMIT,0.12400000,80.00000000,1,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'SEI', 'flat_fees': [{'token': 'SEI', 'amount': '0.08000000'}]}",0.0099200000000000,NIL,00:00:37
